Wavelength (nm),N2 Baseline,0.15P DMMP,0.25P DMMP,0.50P DMMP,0.15P DCP,0.25P DCP,0.50 DCP,0.15P EtOH,0.25P EtOH,0.50P EtOH,0.15P MeOH,0.25P MeOH,0.50P MeOH,0.15P Water,0.25P Water,0.50P Water
700.834,0.274265,-1.28267,-0.879285,-1.10095,0.0752575,0.0451762,0.281631,-3.74589,-5.86651,-7.44714,-1.82937,-1.64449,-3.09877,-1.95244,-2.1041,-3.90843
701.173,0.271353,-1.29303,-0.884967,-1.11167,0.0808518,0.0568414,0.291284,-3.74002,-5.85899,-7.44976,-1.83197,-1.63482,-3.08053,-1.95034,-2.09953,-3.91768
701.511,0.268424,-1.30278,-0.890278,-1.12179,0.0860702,0.06805,0.30027,-3.73398,-5.85169,-7.45216,-1.83417,-1.62474,-3.06215,-1.94775,-2.09462,-3.92689
701.85,0.265478,-1.31188,-0.895174,-1.13125,0.0908832,0.0787531,0.308552,-3.72778,-5.84463,-7.45432,-1.83594,-1.61426,-3.04362,-1.94469,-2.08937,-3.93609
702.189,0.262516,-1.32029,-0.899615,-1.14001,0.0952627,0.0889045,0.316097,-3.72143,-5.83782,-7.45627,-1.83727,-1.60336,-3.02495,-1.94119,-2.08382,-3.9453
702.527,0.259541,-1.32797,-0.903567,-1.14802,0.0991827,0.0984613,0.322879,-3.71495,-5.83128,-7.45801,-1.83814,-1.59205,-3.00611,-1.93725,-2.07797,-3.95453
702.865,0.256552,-1.33487,-0.906997,-1.15525,0.102619,0.107383,0.328874,-3.70835,-5.82501,-7.45954,-1.83852,-1.58031,-2.98712,-1.93291,-2.07184,-3.96381
703.204,0.253551,-1.34098,-0.909878,-1.16165,0.105549,0.115635,0.334064,-3.70166,-5.81903,-7.46087,-1.8384,-1.56815,-2.96796,-1.9282,-2.06545,-3.97313
703.542,0.250539,-1.34626,-0.912188,-1.1672,0.107954,0.123182,0.338434,-3.69489,-5.81334,-7.46201,-1.83777,-1.55555,-2.94861,-1.92313,-2.05883,-3.98253
703.88,0.247519,-1.35069,-0.913908,-1.17187,0.109814,0.129998,0.341974,-3.68805,-5.80796,-7.46297,-1.83661,-1.54251,-2.92908,-1.91773,-2.05197,-3.99199
